epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,619.682,1.00193,1.25224,1.15061,0.96527,0.60014,0.60189,0.6247,0.45733,0.59307,0.59557,0.61572,0.3675,0.89933,1.08033,1.20041,0.9555,0.0067,0.0067,0.0067
102,625.698,0.9966,1.2494,1.15914,0.96666,0.59898,0.58527,0.61935,0.45631,0.5909,0.57439,0.60966,0.3657,0.91464,1.10883,1.21068,0.96456,0.006667,0.006667,0.006667
103,631.518,1.00731,1.26462,1.1627,0.96628,0.52358,0.60273,0.56138,0.39779,0.51313,0.59393,0.55107,0.31835,0.91467,1.11171,1.58259,0.96764,0.006634,0.006634,0.006634
104,637.403,1.00798,1.24765,1.16685,0.96509,0.60213,0.62527,0.62631,0.45373,0.60219,0.62218,0.62173,0.37765,0.88648,1.06328,1.25985,0.95562,0.006601,0.006601,0.006601
105,643.176,0.99683,1.23069,1.14278,0.96011,0.59835,0.66111,0.64916,0.47079,0.59415,0.65163,0.64264,0.38633,0.90643,1.05787,1.11678,0.95762,0.006568,0.006568,0.006568
106,649.257,0.98992,1.22478,1.14238,0.95703,0.61807,0.65073,0.64795,0.4759,0.61609,0.64878,0.64416,0.39277,0.89562,1.02366,1.14962,0.95555,0.006535,0.006535,0.006535
107,655.221,1.01138,1.2623,1.14494,0.96772,0.58094,0.65648,0.62515,0.45982,0.58479,0.65362,0.62138,0.37239,0.90995,1.06491,1.27337,0.96072,0.006502,0.006502,0.006502
108,661.024,0.99437,1.24018,1.12879,0.96217,0.61581,0.63657,0.65348,0.48433,0.61259,0.63312,0.64762,0.39409,0.89263,1.04375,1.12412,0.95045,0.006469,0.006469,0.006469
109,666.934,0.98798,1.22934,1.12027,0.9611,0.66098,0.62424,0.67403,0.4919,0.65903,0.62344,0.67036,0.40788,0.87665,1.02744,1.09661,0.9487,0.006436,0.006436,0.006436
110,672.807,0.98166,1.22302,1.11339,0.95076,0.58835,0.62541,0.64796,0.47844,0.58566,0.62254,0.64088,0.37836,0.88688,1.08136,1.16636,0.95249,0.006403,0.006403,0.006403
111,678.663,0.98379,1.25215,1.11381,0.95504,0.62399,0.66319,0.67508,0.49521,0.62444,0.66453,0.67443,0.41379,0.88273,1.01111,1.08443,0.94644,0.00637,0.00637,0.00637
112,684.618,1.00517,1.25764,1.12855,0.96487,0.65046,0.62782,0.65848,0.4787,0.64538,0.62203,0.65012,0.37966,0.88032,1.09161,1.16944,0.94997,0.006337,0.006337,0.006337
113,690.63,0.98735,1.25186,1.12904,0.95736,0.65045,0.64816,0.67376,0.50432,0.64629,0.64377,0.66546,0.41129,0.87115,1.02565,1.07828,0.9459,0.006304,0.006304,0.006304
114,696.598,1.00165,1.2654,1.13185,0.95926,0.60837,0.60147,0.61489,0.44873,0.60777,0.60355,0.61418,0.37725,0.90625,1.043,1.19532,0.95797,0.006271,0.006271,0.006271
115,702.365,0.98465,1.23304,1.10666,0.95771,0.64151,0.60382,0.64643,0.48694,0.63418,0.59637,0.63634,0.39169,0.88377,1.04173,1.18535,0.9577,0.006238,0.006238,0.006238
116,708.48,1.00766,1.27181,1.13109,0.96215,0.6385,0.62787,0.66077,0.493,0.63636,0.62872,0.65182,0.39532,0.87891,1.02914,1.12124,0.94427,0.006205,0.006205,0.006205
117,714.367,0.98828,1.21879,1.09387,0.95688,0.66218,0.65237,0.68505,0.51307,0.65787,0.64874,0.67799,0.41752,0.87121,1.02832,1.08713,0.94416,0.006172,0.006172,0.006172
118,720.408,0.98016,1.19505,1.08437,0.95276,0.63053,0.66985,0.6876,0.50519,0.62663,0.66407,0.67963,0.40987,0.8667,1.03776,1.07132,0.94472,0.006139,0.006139,0.006139
119,726.276,0.97578,1.24294,1.09527,0.95996,0.56296,0.69164,0.64831,0.47459,0.56276,0.69125,0.64424,0.3892,0.87797,1.03217,1.24353,0.95713,0.006106,0.006106,0.006106
120,732.177,0.96009,1.19038,1.08192,0.94964,0.5988,0.66679,0.66473,0.50364,0.59444,0.66084,0.658,0.40213,0.86943,1.07365,1.16372,0.94905,0.006073,0.006073,0.006073
121,738.124,0.97484,1.20988,1.06657,0.9541,0.58644,0.65439,0.65,0.48415,0.58495,0.64816,0.64482,0.38486,0.87665,1.04918,1.22792,0.94743,0.00604,0.00604,0.00604
122,743.927,0.96934,1.20801,1.09252,0.95554,0.61259,0.66428,0.66002,0.48597,0.60626,0.65758,0.65158,0.39389,0.88298,1.03257,1.19922,0.94281,0.006007,0.006007,0.006007
123,749.749,0.96604,1.19305,1.07513,0.95127,0.65787,0.65931,0.6811,0.49493,0.65565,0.64921,0.67555,0.40891,0.88829,1.03061,1.05865,0.94446,0.005974,0.005974,0.005974
124,755.829,0.98763,1.2283,1.07571,0.95234,0.67879,0.6526,0.70521,0.5235,0.65581,0.6633,0.69876,0.42376,0.86657,1.00359,1.03855,0.93392,0.005941,0.005941,0.005941
125,761.719,0.96347,1.19892,1.06052,0.94784,0.63756,0.633,0.66116,0.47641,0.6315,0.62916,0.65704,0.38753,0.86279,1.00783,1.18491,0.9438,0.005908,0.005908,0.005908
126,767.514,0.97272,1.23646,1.05086,0.94947,0.65587,0.66552,0.69222,0.50945,0.67366,0.65003,0.68548,0.41537,0.87035,1.00359,1.10274,0.94771,0.005875,0.005875,0.005875
127,773.414,0.97182,1.19067,1.03957,0.94772,0.62607,0.66179,0.66937,0.4972,0.62618,0.65558,0.66475,0.41585,0.87684,0.989,1.13415,0.95638,0.005842,0.005842,0.005842
128,779.236,0.96758,1.18164,1.03933,0.94789,0.66613,0.66383,0.70595,0.53198,0.66015,0.65834,0.69668,0.42984,0.86867,1.00741,1.04692,0.94951,0.005809,0.005809,0.005809
129,785.232,0.97404,1.21375,1.06271,0.9506,0.69313,0.66977,0.70999,0.53793,0.68661,0.66345,0.70134,0.43487,0.84763,1.00186,1.00587,0.93392,0.005776,0.005776,0.005776
130,791.24,0.9574,1.19186,1.03348,0.94423,0.61061,0.66347,0.67514,0.50978,0.61973,0.64497,0.67144,0.41505,0.86149,1.01862,1.12513,0.94073,0.005743,0.005743,0.005743
